bus_name,address,city,state,tax_year,revenue,explanation
MIDDLEBURG VOLUNTEER FIRE DEPT INC,PO BOX 122,MIDDLEBURG,VA,2011,229405,"ON MONDAY, APRIL 16, 2012 THE LEADERSHIP OF THE MIDDLEBURG VOLUNTEER FIRE DEPARTMENT (MVFD) LEARNED THAT THE ORGANIZATION'S TREASURER HAD DIVERTED FUNDS FROM THE CORPORATION OVER A PERIOD OF APPROXIMATELY THREE YEARS. THIS SITUATION CAME TO LIGHT WHEN THE TREASURER DIED. ACTIONS THAT HAVE TAKEN PLACE SINCE THIS DISCOVERY INCLUDE: INTERNAL REVIEW OF BANK STATEMENTS AND OTHER FINANCIAL DOCUMENTS BY SENIOR MEMBERS OF THE CORPORATION. INVESTIGATION AND FORENSIC AUDIT BY THE LOUDOUN COUNTY SHERIFF'S DEPARTMENT (ONGOING) FULL FINANCIAL AUDIT BY AN INDEPENDENT AGENCY HIRED BY LOUDOUN COUNTY (TO BEGIN AT CONCLUSION OF FORENSIC AUDIT) INITIATION OF CLAIMS AGAINST APPLICABLE INSURANCE POLICIES TO RECOVER LOSSES (ONGOING) RE-INSTITUTION OF FINANCIAL CONTROLS WHICH HAD LAPSED AT THE BEGINNING OF SAID TREASURER'S TENURE (JANUARY 1, 2008). RECOVERY OF ELECTRONIC DATA FROM ACCOUNTANT'S BACK-UP FILES TO BEGIN THE PROCESS OF DETERMINING THE ACCURACY OF INFORMATION SUBMITTED TO THE INTERNAL REVENUE SERVICE FOR THE FISCAL YEARS 2008 - 2010. WE ANTICIPATE FILING AMENDED RETURNS FOR THOSE YEARS FOLLOWING THE FORENSIC AND FINANCIAL AUDITS."
MOTHER SETON HOUSE INC,3333 VIRGINIA BEACH BOULEVARD NO 28,VIRGINIA BEACH,VA,2010,1274549,"THE DIVERSION WAS IDENTIFIED IN MAY 2011 HOWEVER THE DIVERSION OCCURRED PRIOR TO FISCAL 2010/2011. THE FORENSIC AUDIT IS STILL UNDERWAY BUT IT APPEARS THERE HAS BEEN A DIVERSION OF FUNDS FROM 2006 TO MAY 2010. FUNDS WERE DIVERTED THROUGH DONATIONS RECEIVED IN THE MAIL TO AN EMPLOYEE AND CUMULATIVE AMOUNT IS PROJECTED TO BE $175,000. CORRECTIVE ACTION INCLUDES TIGHTER INTERNAL CONTROLS WHICH WERE IMPLEMENTED JUNE 2010 INCLUDING SEPARATION OF DUTIES, TWO PEOPLE OPENING MAIL, REMOVING THE SHELTER ADDRESSES FROM THE DELIVERY SCHEDULE FOR THE POST OFFICE AND UNANNOUNCED SPOT CHECKS BY EXTERNAL CPA. ONCE INVESTIGATION IS COMPLETE, THE ORGANIZATION PLANS TO PROSECUTE."
NORFOLK SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS INC,916 BALLENTINE BLVD,NORFOLK,VA,2010,2063074,"DURING 2010, A MISAPPROPRIATION OF FUNDS TOTALING $127,440 WAS DISCOVERED. OF THIS AMOUNT, $84,151 WAS EXPENSED IN 2009. THE ORGANIZATION SUPPLIED RECORDS TO LAW ENFORCEMENT OFFICIALS DOCUMENTING THE MISAPPROPRIATION. INSURANCE PROCEEDS OF $100,000 HAVE BEEN RECORDED AS A RECEIVABLE AS OF DECEMBER 31, 2010."
NORTHERN VIRGINIA RESOURCE CENTER FOR DEAF AND HARD OF HEARING PERSONS,3951 PENDER DRIVE NO 130,FAIRFAX,VA,2015,717134,"ON JANUARY 28, 2016, IT WAS DISCOVERED THAT THE FORMER OUTSIDE ACCOUNTANT MADE A FRAUDULENT ELECRONIC PAYMENT OF $18,330 ON JULY 6, 2015 FROM NVRC'S MONEY MARKET ACCOUNT TO AN AMERICAN EXPRESS ACCOUNT HELD IN HIS NAME. IN ADDITION, ON JULY 27, 2015 THE FORMER OUTSIDE ACCOUNTANT FRAUDULENTLY MADE A $1,000 PAYMENT BY CHECK FROM NVRC'S MONEY MARKET ACCOUNT TO A COMPANY HE HAD FORMED TO PROVIDE ADMINISTRATIVE SERVICES TO NVRC. NVRC FILED A CRIMINAL COMPLAINT WITH THE FAIRFAX COUNTY POLICE ON FEBRUARY 18, 2016. $18,330 WAS RECOVERED FROM THE FRAUDULENT AMOUNTS DISBURSED FROM NVRC'S MONEY MARKET ACCOUNT."
OCEAN VIEW DEMOCRATIC SOCIAL CLUB INC,9615 GRANBY ST,NORFOLK,VA,2015,348511,"WE HAVE UNCOVERED ADDITIONAL SHORTAGE OF $49,062.39 WHICH IS STILL A PART OF THE SHORTAGE FROM 2014 UNDER THE OLD MANAGEMENT. THE NEW MANAGEMENT HAVE SET UP CONTROLS AND CONTINUOUSLY REVIEWS THE SYSTEM TO AVOID THE SAME PROBLEM."
OCEAN VIEW DEMOCRATIC SOCIAL CLUB INC,9615 GRANBY ST,NORFOLK,VA,2016,367276,"THERE'S A GAMING SHORTAGE OF $11,510.41 WHICH WAS DISCUSSED WITH THE MANAGEMENT. THE MANAGEMENT IS CONTINUOUSLY REVIEWING THE SYSTEM AND SETTING UP MEETINGS WITH THE ONLINE GAMING PROVIDER TO SET UP INTERNAL CONTROLS TO AVOID THE SAME PROBLEM."
OLD DOMINION FOOTBALL CLUB INC,25050 RIDING PLAZA 130 BOX 124,SOUTH RIDING,VA,2012,216922,NONE
PEOPLE FOR THE ETHICAL TREATMENT OF ANIMALS INC,501 FRONT STREET,NORFOLK,VA,2012,34696042,"A SERVICE PROVIDER PROCESSING DONATIONS ON BEHALF OF PETA HAD NOT FULLY REMITTED DONATIONS RELATED TO RECEIPTS PRIOR TO AUGUST 1, 2012, AMOUNTING TO $791,081. THE SERVICE PROVIDER HAS REMITTED $530,360 AND IS MAKING 8 MONTHLY PAYMENTS OF $32,590 EACH TO FULLY TENDER THE UNREMITTED FUNDS."
PRISON FELLOWSHIP MINISTRIES,44180 RIVERSIDE PARKWAY SUITE,LANSDOWNE,VA,2012,40765296,"IN FISCAL YEAR 2013, PFM DISCOVERED A MULTI-YEAR FRAUD OF $296,000 BY A NOW FORMER EMPLOYEE. PFM IMMEDIATELY CONTACTED THE POLICE AND ITS INSURANCE COMPANY TO REPORT THE FRAUD. ALL BACK-UP DOCUMENTATION WAS PROVIDED TO BOTH THE POLICE AND THE INSURANCE COMPANY AND ALL OF THE FUNDS WERE RECOVERED WITHIN FOUR MONTHS. THE EX-EMPLOYEE WAS ARRESTED AND CHARGED. AS A RESULT, INTERNAL CONTROLS WERE THOROUGHLY EXAMINED BY MANAGEMENT AND AN EXTERNAL CONSULTANT. ADDITIONAL CONTROLS WERE IMMEDIATELY PUT IN PLACE. THE FISCAL YEAR-END AUDIT OF PFM'S BOOKS AND RECORDS RESULTED IN THE HIGHEST LEVEL OF ASSURANCE, AN UNMODIFIED OPINION. MANAGEMENT IS CONFIDENT THAT THE CORRECT LEVEL OF CONTROLS IS IN PLACE TO MINIMIZE THE LIKELIHOOD OF ANY FUTURE MISAPPROPRIATION OF FUNDS."
PURPLE HEART SERVICES INC,PO BOX 49,ANNANDALE,VA,2012,14243275,"IN APRIL 2013, MILITARY ORDER OF THE PURPLE HEART SERVICE FOUNDATION, INC. (THE FOUNDATION) RECEIVED A LETTER FROM AN IDENTIFIED, BUT UNSUBSTANTIATED SOURCE INDICATING THAT CERTAIN CARS BEING DELIVERED TO ONE THIRD-PARTY AUCTION HOUSE WERE BEING SOLD, BUT THE SALES PROCEEDS WERE BEING UNDERREPORTED AND UNDERPAID TO THE FOUNDATION. AS A RESULT OF THIS LETTER, MANAGEMENT CONDUCTED AN INTERNAL INVESTIGATION AND THEREAFTER ENGAGED THE SERVICES OF AN INDEPENDENT FORENSIC ACCOUNTANT. UPON THE CONCLUSION OF THESE INVESTIGATIONS, MANAGEMENT BELIEVES, BASED ON THE BEST AVAILABLE INFORMATION FROM THESE INVESTIGATIONS, THAT FROM APPROXIMATELY JULY 2012 THROUGH JULY 2013, AS MANY AS 884 DONATED VEHICLES REMAIN UNPAID AND UNACCOUNTED FOR, RESULTING IN AN ESTIMATED LOSS OF $415,594. OF THIS AMOUNT, $12,900 RELATES TO ACTIVITY FOR THE FISCAL YEAR ENDED JUNE 30, 2014, AND THEREFORE WILL BE REPORTED IN THAT YEAR, RESULTING IN A FRAUD LOSS OF $402,694 FOR THE YEAR ENDED JUNE 30, 2013."
ROBERTA WEBB CHILD CARE CENTER INC,400 KELLEY ST,HARRISONBURG,VA,2014,246243,"DURING THE YEAR, THE CENTER BECAME AWARE OF A DIVERSION OF ITS ASSETS IN THE APPROXIMATE AMOUNT OF $19,000, WHICH OCCURRED OVER A FOUR YEAR PERIOD. SUBSEQUENT TO THIS EVENT, THE CENTER REVISED AND DEVELOPED NEW INTERNAL CONTROL PROCEDURES TO ENSURE ANY FUTURE INSTANCES ARE DETECTED IMMEDIATELY."
RURITAN NATIONAL CORPORATION,PO BOX 1167,BERRYVILLE,VA,2011,140622,"ALLEGED EMBEZZLEMENT OF OVER $240,000. MATTER IN UNDER INVESTIGATION BY LOCAL AUTHORITIES."
SAFEHOME SYSTEMS INC,P O BOX 748,COVINGTON,VA,2011,224660,"DURING THE FISCAL YEAR ENDED JUNE 30, 2012, A FORMER EXECUTIVEDIRECTOR WAS CRIMINALLY PROSECUTED FOR EMBEZZLEMENT OF FUNDSTOTALING APPROXIMATELY $32,000. THE THEFT APPARENTLYOCCURRED OVER A PERIOD OF SEVERAL YEARS. THE ORGANIZATIONRECEIVED RESTITUTION FROM THIS INDIVIDUAL IN THE AMOUNT OF $24,504."
SHENANDOAH RESOURCE CONSERVATION AND DEVELOPMENT COUNCIL,17 BARRISTERS ROW,STAUNTON,VA,2011,201494,"THE ORGANIZATION WAS TERMINATED ON JUNE 30, 2012 AND ALL REMAINING ASSETS WERE TRANSFERRED TO VALLEY CONSERVATION COUNCIL, INC., EIN 54-1548245, A 501(C)3 ORGANIZATION WHOSE PRIMARY PURPOSE IS THE FURTHERANCE OF LAND CONSERVATION EFFORTS."
SOCIETY OF GOVERNMENT MEETING PROFESSION,908 KING STREET,ALEXANDRIA,VA,2011,1508943,NATURE OF DIVERSION SUSPECTED FINANCIAL FRAUD BY EMPLOYEE AMOUNTS OF PROPERTY INVOLVED 30293 CORRECTIVE ACTIONS TAKEN TO ADDRESS THE MATTER TERMINATED EMPLOYEE FROZE KEY ASSETS TARGETED AUDIT ANNUAL AUDIT AND ACTIONS BY LEGAL COUNSEL TO PLACE CHARGES
THE BRISTOL PUBLIC LIBRARY FOUNDATION,701 GOODE STREET,BRISTOL,VA,2014,1255,"DURING THE YEAR ENDED JUNE 30, 2015, THE ORGANIZATION BECAME AWARE OF A DIVERSION OF ASSETS BY A FORMER EMPLOYEE. THE FORMER EXECUTIVE DIRECTOR MADE FRAUDULENT PURCHASES USING THE ORGANIZATION'S CREDIT CARD REPORTEDLY TOTALING APPROXIMATELY $20,000 PRIOR TO HER DEPARTURE OF EMPLOYEMENT DURING JUNE 2013. THE FORMER EMPLOYEE HAS MADE RESTITUTION OF THESE FUNDS,"
THE COLLINS CENTER,PO BOX 1473,HARRISONBURG,VA,2013,549648,"DURING THE YEAR, THE CENTER BECAME AWARE OF A DIVERSION OF ITS ASSETS IN THE APPROXIMATE AMOUNT OF $29,000. THE DIVERSION WAS DETECTED BY THE CENTER'S INTERNAL CONTROL AND THE INDIVIDUAL RESPONSIBLE WAS IMMEDIATELY TERMINATED. THE INDIVIDUAL REPAID A PORTION OF THE FUNDS DURING THE FISCAL YEAR AND REPAID THE REMAINING AMOUNT PLUS RELATED PROFESSIONAL FEES SUBSEQUENT TO YEAR END."
THE LAW ENFORCEMENT ALLIANCE OF AMERICA INC,5538 PORT ROYAL ROAD,SPRINGFIELD,VA,2010,1972795,EMPLOYEE THEFT DISCOVERED IN 2009 AND CONTINUED QUANTIFICATION IN 2010. MATTER TURNED OVER TO AUTHORITIES FOR RECOVERY AND PROSECUTION.
THE LAW ENFORCEMENT ALLIANCE OF AMERICA INC,5538 PORT ROYAL ROAD,SPRINGFIELD,VA,2011,200001,EMPLOYEE THEFT DISCOVERED IN 2009 AND CONTINUED QUANTIFICATION IN 2010. MATTER TURNED OVER TO AUTHORITIES FOR RECOVERY AND PROSECUTION.TRANSFER TO 501 (C) (4) ORGANIZATION
THE SALVATION ARMY WORLD SERVICE OFFICE,615 SLATERS LANE,ALEXANDRIA,VA,2010,51933064,"DURING 2010, IT WAS DETERMINED BY SAWSO PERSONNEL THAT BANK STATEMENTS BEING REPORTED TO SAWSO FROM THE TERRITORY IN TANZANIA THAT OPERATED A SAWSO PROJECT, HAD POTENTIALLY BENN FABRICATED. AFTER ADDITIONAL INQUIRY BY SAWSO'S STAFF, THE BUILDING HOUSING THE DOCUMENTS IN TANZANIA HAD BEEN BURNED DOWN. AS A RESULT, THE FUNDS SENT TO TANZANIA DID NOT HAVE ADEQUATE DOCUMENTATION FOR THEIR EXPENDITURE. THIS FAILURE IN MAINTAINING ADEQUATE DOCUMENTATION COULD HAVE ENABLED EXPENDITURES TO BE CHARGED FOR ITEMS NOT CONSISTENT WITH SAWSO'S OBJECTIVES."
US NAVAL SEA CADET FOUNDATION INC,2300 WILSON BLVD NO 200,ARLINGTON,VA,2015,137827,"THE NATURE OF THE DIVERSION, DOLLAR AMOUNTS AND/OR OTHER PROPERTY INVOLVED, CORRECTIVE ACTIONS TAKEN TO ADDRESS THE MATTER, AND PERTINENT CIRCUMSTANCES: DURING 2015, A FOUNDATION OFFICER INSTRUCTED A BROKER TO LIQUIDATE AND TRADE SECURITIES WITHOUT THE EXPRESS AUTHORIZATION OF THE BOARD OF TRUSTEES. THE FOUNDATION RETAINED OWNERSHIP OF THESE ASSETS AND NO TRADE WAS EXECUTED IN EXCHANGE FOR LESS THAN FAIR MARKET VALUE CONSIDERATION. THE UNAUTHORIZED TRANSACTIONS RESULTED IN THE FOUNDATION INCURRING $58,573 OF BROKER FEES AND COMMISSIONS. THE FOUNDATION OFFICER WAS DISMISSED BY THE BOARD OF TRUSTEES. ALL BROKERS DOING BUSINESS WITH THE FOUNDATION RECEIVED NOTIFICATION OF THE NAMED TRUSTEES AUTHORIZED TO DIRECT INVESTMENT ACTIVITY ON BEHALF OF THE FOUNDATION."
VIRGINIA REGIONAL TRANSIT,109 NORTH BAILEY LANE,PURCELLVILLE,VA,2015,6883392,"ON DECEMBER 11, 2015, THE VRT BUILDING IN PURCELLVILLE WAS THE SUBJECT OF A RAID BY THE FBI. THE SUBJECTS OF THE SEARCH WERE VIRGINIA REGIONAL TRANSIT (""VRT"") AND MOBILE AUTO TRUCK REPAIR, INC. (""MOBILE REPAIR""), A VENDOR OF VRT THAT LEASED SPACE FROM VRT IN ITS PURCELLVILLE OFFICE AND PROVIDED MECHANICAL SERVICES TO VRT FOR ITS BUSES. ON APRIL 6, TOM AHALT, PRESIDENT OF MOBILE REPAIR (""AHALT""), ENTERED A PLEA OF GUILTY IN THE US DISTRICT COURT IN ALEXANDRIA TO CONSPIRACY TO COMMIT BRIBERY CONCERNING PROGRAMS RECEIVING FEDERAL FUNDS. AHALT STATED IN COURT FILINGS THAT, FROM THE PERIOD OF 2007 THROUGH DECEMBER 15, 2015, HE HAD PROVIDED MARK MCGREGOR, THEN CEO OF VRT (""MCGREGOR"") WITH FALSE INVOICES FOR EXTRA WORK THAT WAS NOT PERFORMED, AND THAT HE MADE KICKBACK PAYMENTS TO MCGREGOR OF HALF OF THE AMOUNT THAT VRT PAID FOR SUCH EXTRA WORK. THE STATEMENT FILED WITH THE COURT CLAIMED THAT, FOR THE PERIOD COMMENCING IN 2007 AND CONTINUING UNTIL 2015, VRT HAD PAID MOBILE REPAIR APPROXIMATELY $380,000 UNDER FALSE INVOICES THAT MCGREGOR HAD APPROVED WHILE KNOWING THAT THEY WERE FALSE, AND THAT AHALT HAD THEN PAID MCGREGOR APPROXIMATELY $190,000 IN KICKBACK PAYMENTS FOR SUCH APPROVAL. IN ADDITION, AHALT STATED IN THE COURT FILING THAT MOBILE REPAIR REGULARLY SUBMITTED FALSE INVOICE TO VRT FOR PARTS AND LABOR ON VRT'S VEHICLES. THE AMOUNT OF FALSE INVOICES PAID BY VRT WAS AT LEAST $136,000. ON MAY 16, 2016, MCGREGOR ENTERED IN THE US DISTRICT COURT OF ALEXANDRIA A GUILTY PLEA TO A SINGLE COUNT OF BRIBERY CONCERNING PROGRAMS RECEIVING FEDERAL FUNDS. MCGREGOR IS NO LONGER AFFILIATED WITH VRT. VRT HAS TERMINATED ITS LEASE AND SERVICE AGREEMENTS WITH MOBILE REPAIR AND NO LONGER DOES BUSINESS WITH MOBILE REPAIR."
AMERICAN LEGION,PO BOX 174,READSBORO,VT,2010,75104,A MATERIAL DIVERSION THEFT OF FUNDS WAS DISCOVERED WHEN BANK NOTIFIED AN OFFICER OF MULTIPLE CHECKS BEING ISSUED TO ONE INDIVIDUAL
CHAMPLAIN ISLANDS PARENT CHILD CENTER,114 SOUTH STREET,SOUTH HERO,VT,2012,482996,"THE ORGANIZATION BECAME AWARE OF AN EMBEZZLEMENT OF ITS FUNDS PERPETRATED BY ITS CONTRACTEDBOOKKEEPER IN MARCH 2014 IN THE AMOUNT OF $19,647 DURING THE FISCAL YEAR WHICH ENDED 6/30/13,AND AN ADDITIONAL $24,000 DURING THE YEAR WHICH ENDED 6/30/14. THE ACCUSED NOT ONLY FAILEDTO CLOSE OUT THE ORGANIZATION'S BOOKS, BUT TAMPERED WITH THEM INTENTIONALY IN ORDER TOCONCEAL HER THEFT. LEGAL PROCEEDINGS HAVE BEEN INITIATED, BUT TO DATE, THE ACCUSED HASYET TO MAKE ANY FORM OF RESTITUTION."
CHAMPLAIN ISLANDS PARENT CHILD CENTER,114 SOUTH STREET,SOUTH HERO,VT,2013,481298,"THE ORGANIZATION BECAME AWARE OF AN EMBEZZLEMENT OF ITS FUNDS PERPETRATEDBY ITS CONTRACTED BOOKKEEPER IN MARCH 2014 IN TH AMOUNT OF $26,837DURING THIS FISCAL YEAR, AS WELL AS $19,647 IN THE PRIOR FISCAL YEAR.THE ACCUSED WAS FOUND GUILTY AND IS CURRENTLY SERVING JAIL TIME.NO FORMS OF RESTITUTION HAVE YET TO BE MADE."
SOUTHEAST VERMONT COMMUNITY LEARNING COLLABORATIVE,P O BOX 300,BRATTLEBORO,VT,2011,702627,THE BOARD OF DIRECTORS BECAME AWARE OF PRIOR LOANS TO THE EXECUTIVE DIRECTOR DURING THE CURRENT YEAR. THE EXECUTIVE DIRECTOR CAN NO LONGER BORROW FUNDS FROM THE ORGANIZATION AND HAS SIGNED A LOAN REPAYMENT AGREEMENT IN WHICH THE ORGANIZATION WILL RECOVER ALL PRIOR FUNDS LOANED TO THE EXECUTIVE DIRECTOR.
SOUTHERN VERMONT COLLEGE,982 MANSION DRIVE,BENNINGTON,VT,2012,16055936,"IN JANUARY 2013, THE AUDITORS DISCOVERED FRAUDULENT TRANSACTIONS THAT WERE PERPETRATED BY THE CHIEF FINANCIAL OFFICER (CFO)/ CHIEF OPERATING OFFICER (COO). THE CFO/COO RESIGNED FROM THE COLLEGE IN FEBRUARY 2013. THE FRAUDULENT TRANSACTIONS INCLUDED UNAUTHORIZED PERSONAL PURCHASES WITH THE COLLEGE ISSUED CREDIT CARD, DIVERSION OF FUNDS FOR PERSONAL USE, UNAUTHORIZED INCREASE IN SALARY AND HOUSING ALLOWANCE. A FORENSIC AUDIT WAS PERFORMED BY AN OUTSIDE FIRM. FRAUDULENT TRANSACTIONS TOTALED $25,827 PRIOR TO JULY 1, 2011, $305,664 DURING THE YEAR ENDED JUNE 30, 2012 AND $506,930 DURING THE YEAR ENDED JUNE 30, 2013 FOR A TOTAL OF $838,421. $150,000 WAS RECOVERED AS OF JUNE 30, 2013 FROM AN INSURANCE POLICY. AN ADDITIONAL $350,000 WAS RECOVERED AFTER JUNE 30, 2013 FROM THE SAME INSURANCE POLICY. THE BALANCE OF $338,421 IS EXPECTED TO BE RECOVERED FROM THE PRIOR CFO/COOS ESTATE. INTERNAL CONTROL PROCEDURES HAVE BEEN REVIEWED AND TIGHTENED."
AGC-IUOE LOCAL 701 TRAINING TRUST FUND,PO BOX 34203,SEATTLE,WA,2014,1159430,"THE UNION TRUSTEES HAVE FILED A LAWSUIT TO RECOVER FUNDS FROM A FORMER TRUSTEE WHO RECEIVED APPROXIMATELY 70,000 IN PAYMENTS WHILE HE WAS A TRUSTEE FOR ALLEGED CONSULTING SERVICES DURING 2012 AND 2013, WHICH THE LAWSUIT ALLEGES VIOLATED ERISA'S FIDUCIARY DUTY AND PROHIBITED TRANSACTIONS RULES."
AMERICAN CULTURAL EXCHANGE SERVICE,ONE LAKE BELLEVUE DRIVE,BELLEVUE,WA,2014,1545121,"DURING THE YEAR ENDED JUNE 30, 2015, AN INDIVIDUAL EXTERNAL TO ACES OBTAINED THE CHECKING ACCOUNT NUMBER OF ACES AND FRAUDULENTLY WROTE AND CASHED $172,900 IN CHECKS. THE BANK REIMBURSED $47,046 PRIOR TO JUNE 20, 2015. ACES HAS RETAINED AN ATTORNEY AND INTENDS TO ARBITRATE TO ATTEMPT TO RECOVER THE REMAINING $125,854."
BOARD OF TRUSTEES PUGET SOUND BOILERMAKERS APP & TRN TRUST,2323 EASTLAKE AVE E,SEATTLE,WA,2014,202571,"DURING THE YEAR ENDED JUNE 30, 2015, EVIDENCE WAS DISCOVERED THAT TWO FORMER TRUST EMPLOYEES WERE PAID, THROUGH THE FALSIFICATION OF TIME SHEETS, APPROXIMATELY 63,570 IN WAGES FOR HOURS NOT WORKED. THE ONGOING TIME PERIOD OF OCCURRENCE WAS MARCH 2012 THROUGH MARCH 2015."
BOEING EMPLOYEES' TENNIS CLUB,6727 S 199TH PLACE,KENT,WA,2011,1100839,"MANAGEMENT DISCOVERED THAT THE ORGANIZATION'S BOOKKEEPER HAD BEEN MISAPPROPRIATING FUNDS. THE BOOKKEEPER WAS IMMEDIATELY TERMINATED, AND CRIMINAL CHARGES HAVE BEEN FILED."
CAPITAL CLUBHOUSE,PO BOX 1362,OLYMPIA,WA,2012,629558,
FRIEND'S OF THE CONSERVATORY,1402 E GALER,SEATTLE,WA,2012,203912,"THE ORGANIZATION BECAME AWARE IN APRIL OF 2013 THAT THE FORMER TREASURER OF THE ORGANIZATION HAD EMBEZZLED IN EXCESS OF $85,000 (EIGHTY-FIVE THOUSAND DOLLARS) FROM THE ORGANIZATION. THE ORGANIZATION HAS FILED LEGAL ACTION AGAINST THE FORMER TREASURER AND IS PERSUING RESTITUTION OF THE AMOUNT EMBEZZLED"
GENESIS HOUSE,621 34TH AVE,SEATTLE,WA,2012,1392826,"IN JULY OF 2012, THE ORGANIZATION BECAME AWARE OF MATERIAL EMBEZZLEMENT OF FUNDS BY THE FORMER EXECUTIVE DIRECTOR (ED) THROUGH HIS WAGES AS WELL AS HIS WIFE'S, WHO WAS ALSO AN EMPLOYEE OF THE ORGANIZATION. THE AMOUNT OF THE EMBEZZLEMENT WAS CALCULATED TO BE $190,250 IN TOTAL OVER A PERIOD OF SIX YEARS STARTING IN 2006. AS SOON AS THE EMBEZZLEMENT WAS DISCOVERED, A FORENSIC ACCOUNTING TEAM WAS ENGAGED TO ASSESS THE EXTENT OF THE FRAUD. THE ED AND HIS WIFE WERE CONSEQUENTLY TERMINATED. NO LEGAL ACTION WAS TAKEN AGAINST THE FORMER ED'S WIFE, HOWEVER A POLICE REPORT WAS FILED AGAINST THE ED. THE POLICE INVESTIGATION IS STILL PENDING. AN INSURANCE CLAIM WAS FILED AND RECENTLY AWARDED BY THE CARRIER. GENESIS HOUSE WILL RECEIVE A $100,000 REIMBURSEMENT NET OF A $1,000 DEDUCTIBLE FROM THE INSURANCE AGENCY BY THE END OF 2013. JEFFREY BOTT - EMBEZZLEMENT $154,710.62 SUSAN BOTT - EMBEZZLEMENT $35,539.56"
GENESIS HOUSE,621 34TH AVE,SEATTLE,WA,2012,1392826,"IN JULY OF 2012, THE ORGANIZATION DISCOVERED SIGNIFICANT EVIDENCE OF MATERIAL EMBEZZLEMENT OF FUNDS BY AN EMPLOYEE THROUGH HIS WAGES AS WELL AS HIS WIFE'S, WHO WAS ALSO AN EMPLOYEE OF THE ORGANIZATION. THE AMOUNT OF THE EMBEZZLEMENT WAS CALCULATED TO BE $190,250 IN TOTAL. THIS EMBEZZLEMENT IS BELIEVED TO HAVE TAKEN PLACE OVER A PERIOD OF SIX YEARS STARTING IN 2006. AS SOON AS THE EMBEZZLEMENT WAS DISCOVERED, A FORENSIC ACCOUNTING TEAM WAS ENGAGED TO ASSESS THE EXTENT OF THE FRAUD. THE EMPLOYEE AND HIS WIFE WERE CONSEQUENTLY TERMINATED. NO LEGAL ACTION WAS TAKEN AGAINST THE WIFE BUT A POLICE REPORT WAS FILED AGAINST THE EMPLOYEE. THE POLICE INVESTIGATION IS STILL PENDING. AN INSURANCE CLAIM WAS FILED AND RECENTLY AWARDED BY THE CARRIER. GENESIS HOUSE WILL RECEIVE A $100,000 REIMBURSEMENT (NET OF $1,000 DEDUCTIBLE) FROM THE INSURANCE CARRIER BY THE END OF 2013. EMPLOYEE: EMBEZZLEMENT $154,710.62 WIFE: EMBEZZLEMENT $35,539.56"
INLAND EMPIRE YOUTH SOCCER ASSOCIATION,1717 W GARLAND AVENUE,SPOKANE,WA,2012,338744,"THE ORGANIZATION BECAME AWARE OF FUNDS EMBEZZLED FROM THE ORGANIZATION BY THE TREASURER DURING THE 2011, 2012, AND 2013 TAX YEARS IN 2013. THE AMOUNT EMBEZZLED WAS $128,717. THE PERSON WHO EMBEZZLED THE FUNDS HAS SINCE PAID BACK $15,000. THE ORGANIZATION HAS SINCE REVIEWED THEIR INTERNAL CONTROLS AND HAS INCREASED MONITORING ACCOUNTING, TO ENSURE THIS DOES NOT HAPPEN AGAIN."
ISLAND HOSPITAL FOUNDATION,1211 24TH STREET,ANACORTES,WA,2014,591780,"IN 2014, THE FOUNDATION IDENTIFIED FRAUDULENT ACTIVITY. TOTAL LOSS WAS ESTIMATED TO BE APPROXIMATELY $285,000. THE PORTION OF THE LOSS THAT RELATED TO 2014 AND 2013 WAS ESTIMATED AT $77,494 AND $90,101, RESPECTIVELY. THE LOSS IS EXPECTED TO BE COVERED BY INSURANCE TO THE EXTENT ALLOWED BY THE INSURANCE CONTRACT LESS DEDUCTIBLES."
KENT LITTLE LEAGUE,PO BOX 5411,KENT,WA,2012,76266,"DURING THE YEAR ENDED SEPTEMBER 30, 2013, THE ORGANIZATION'S BOOKKEEPER STOLE APPROXIMATELY 200,000 FROM THE KENT LITTLE LEAGUE."
LEARNING TREE,1721 15TH AVE,SEATTLE,WA,2014,908751,"AN EMPLOYEE OF THE SCHOOL, WAS IN CHARGE OF PAYROLL, ACCOUNTS RECEIVABLE, AND PAYING BILLS. IN AUGUST 2015, WE BECAME AWARE THAT THIS SAME EMPLOYEE HAD BEEN TAKING MONEY FROM THE LEARNING TREE WITHOUT AUTHORIZATION. USING HER POSITION AS PAYROLL MASTER TO HIDE DRAWS ON HER OWN SALARY, PAYING HERSELF UNAUTHORIZED BONUSES, FAILING TO DEBIT HER OWN PAY WHEN HER WAGES WERE GARNISHED AND RECORDING CHECK WRITTEN TO HERSELF AS REFUNDS TO PARENTS. WE DISCOVERED THIS IN AUGUST 2015, WHEN OUR NEW DIRECTOR LOOKED AT THE PAYROLL HISTORY AND EXPENSE REPORTS. WE HAVE NOT YET BEEN ABLE TO DETERMINE THE EXTENT OF THE OF MISS APPROPRIATED FUNDS. WE HAVE SENT A DETAILED REPORT OF THESE ACTIVITIES TO OUR LAWYER, WHO CONTACTED THE POLICE TO LODGE A COMPLAINT."
